reads_name	chrom1	start1	strand1	chrom2	start2	strand2	length	bin_name1	bin_name2	bin_index1	bin_index2	Unknown	compartment1	compartment2	compartment1_region	compartment2_region	end1	end2	interaction_type	promoter	promoter_info	distance	within_compartment	filter	label
SRR400264.131033	chr1	16121213	+	chr1	16921979	-	280	HIC_chr1_3457	HIC_chr1_3632	42	37		B	A	chr1:16000000-16500000	chr1:16500000-17000000	16121493	16922259	intra	0,1	promoter_4156|CROCC	800766.0	2	True	1
SRR400264.199295	chr1	22024859	-	chr1	22133965	-	268	HIC_chr1_4743	HIC_chr1_4777	42	42		A	A	chr1:22000000-22500000	chr1:22000000-22500000	22025127	22134233	intra	1,0	promoter_10383|LINC00339	109106.0	2	True	1
SRR400264.104380	chr1	25420495	-	chr1	25649433	-	310	HIC_chr1_5514	HIC_chr1_5562	42	42		A	B	chr1:25000000-25500000	chr1:25500000-26000000	25420805	25649743	intra	1,0	promoter_21278|RHCE	228938.0	2	True	1
SRR400264.81812	chr1	28580046	-	chr1	29199534	-	359	HIC_chr1_6173	HIC_chr1_6291	37	42		A	B	chr1:28500000-29000000	chr1:29000000-29500000	28580405	29199893	intra	1,0	promoter_23441|SNORA44	619488.0	2	True	1
SRR400264.192320	chr1	29350370	+	chr1	30059358	-	297	HIC_chr1_6312	HIC_chr1_6484	42	42		B	B	chr1:29000000-29500000	chr1:30000000-30500000	29350667	30059655	intra	1,0	promoter_11304|LINC01756	708988.0	2	True	1
SRR400264.8326	chr1	35546953	-	chr1	35640581	-	227	HIC_chr1_7800	HIC_chr1_7823	42	42		B	B	chr1:35500000-36000000	chr1:35500000-36000000	35547180	35640808	intra	0,1	promoter_20493|PSMB2	93628.0	2	True	1
SRR400264.233070	chr1	40248047	-	chr1	40673384	+	368	HIC_chr1_8972	HIC_chr1_9066	42	42		B	B	chr1:40000000-40500000	chr1:40500000-41000000	40248415	40673752	intra	1,0	promoter_25427|TMCO2	425337.0	2	True	1
SRR400264.159561	chr1	42680777	+	chr1	42739306	-	326	HIC_chr1_9623	HIC_chr1_9637	42	42		B	B	chr1:42500000-43000000	chr1:42500000-43000000	42681103	42739632	intra	0,1	promoter_3653|CLDN19	58529.0	2	True	1
SRR400264.60828	chr1	42803240	+	chr1	42846238	+	330	HIC_chr1_9651	HIC_chr1_9671	42	42		B	B	chr1:42500000-43000000	chr1:42500000-43000000	42803570	42846568	intra	0,1	promoter_28046|ZNF691	42998.0	2	True	1
SRR400264.147188	chr1	43285578	+	chr1	43289053	+	269	HIC_chr1_9778	HIC_chr1_9780	42	42		B	B	chr1:43000000-43500000	chr1:43000000-43500000	43285847	43289322	intra	1,0	promoter_2189|C1orf210	3475.0	2	True	1
SRR400264.15145	chr1	43290646	+	chr1	43300457	-	261	HIC_chr1_9781	HIC_chr1_9785	42	42		B	B	chr1:43000000-43500000	chr1:43000000-43500000	43290907	43300718	intra	0,1	promoter_25295|TIE1	9811.0	2	True	1
SRR400264.103930	chr1	46219518	-	chr1	46384572	-	404	HIC_chr1_10434	HIC_chr1_10475	42	42		A	A	chr1:46000000-46500000	chr1:46000000-46500000	46219922	46384976	intra	1,0	promoter_19917|POMGNT1	165054.0	2	True	1
SRR400264.245724	chr1	180915604	-	chr1	205923796	-	367	HIC_chr1_45127	HIC_chr1_52621	42	42		B	A	chr1:180500000-181000000	chr1:205500000-206000000	180915971	205924163	intra			25008192.0	2	False	0
SRR400264.163178	chr1	17625020	-	chr1	17822667	+	294	HIC_chr1_3756	HIC_chr1_3801	42	42		A	A	chr1:17500000-18000000	chr1:17500000-18000000	17625314	17822961	intra			197647.0	2	False	0
SRR400264.121977	chr1	11674925	+	chr1	231179745	-	253	HIC_chr1_2342	HIC_chr1_60080	42	42		A	B	chr1:11500000-12000000	chr1:231000000-231500000	11675178	231179998	intra			219504820.0	2	False	0
SRR400264.240542	chr1	167252817	+	chr1	180190506	-	265	HIC_chr1_40874	HIC_chr1_44930	42	42		A	B	chr1:167000000-167500000	chr1:180000000-180500000	167253082	180190771	intra			12937689.0	2	False	0
SRR400264.71548	chr1	39310452	-	chr1	53991707	+	327	HIC_chr1_8730	HIC_chr1_12521	42	37		B	B	chr1:39000000-39500000	chr1:53500000-54000000	39310779	53992034	intra			14681255.0	2	False	0
SRR400264.37451	chr1	210176688	+	chr1	210429147	-	230	HIC_chr1_53924	HIC_chr1_54002	42	42		B	B	chr1:210000000-210500000	chr1:210000000-210500000	210176918	210429377	intra			252459.0	2	False	0
SRR400264.101253	chr1	62994954	+	chr1	224797599	-	1738	HIC_chr1_15276	HIC_chr1_58407	42	42		B	B	chr1:62500000-63000000	chr1:224500000-225000000	62996692	224799337	intra			161802645.0	2	False	0
SRR400264.179008	chr1	18992404	-	chr1	25975969	+	217	HIC_chr1_4064	HIC_chr1_5643	42	42		B	B	chr1:18500000-19000000	chr1:25500000-26000000	18992621	25976186	intra			6983565.0	2	False	0
SRR400264.214002	chr1	82759245	+	chr1	182266684	-	252	HIC_chr1_21631	HIC_chr1_45526	42	42		B	B	chr1:82500000-83000000	chr1:182000000-182500000	82759497	182266936	intra			99507439.0	2	False	0
SRR400264.144448	chr1	228512010	+	chr1	237848370	+	301	HIC_chr1_59353	HIC_chr1_61979	42	35		B	B	chr1:228500000-229000000	chr1:237500000-238000000	228512311	237848671	intra	1,0	promoter_1977|BTNL10	9336360.0	2	False	0
SRR400264.93142	chr1	157602942	-	chr1	229426864	-	278	HIC_chr1_38003	HIC_chr1_59558	42	42		B	B	chr1:157500000-158000000	chr1:229000000-229500000	157603220	229427142	intra			71823922.0	2	False	0
SRR400264.21348	chr1	234560838	+	chr1	234589913	+	280	HIC_chr1_61073	HIC_chr1_61079	42	40		A	A	chr1:234500000-235000000	chr1:234500000-235000000	234561118	234590193	intra			29075.0	2	False	0
SRR400264.199970	chr1	51887929	-	chr1	52055850	+	263	HIC_chr1_12010	HIC_chr1_12041	42	42		B	B	chr1:51500000-52000000	chr1:52000000-52500000	51888192	52056113	intra	0,1	promoter_1961|BTF3L4	167921.0	2	True	1
SRR400264.247151	chr1	62435470	+	chr1	62803473	-	297	HIC_chr1_15107	HIC_chr1_15214	42	42		A	B	chr1:62000000-62500000	chr1:62500000-63000000	62435767	62803770	intra	1,0	promoter_26772|USP1	368003.0	2	True	1
SRR400264.206214	chr1	67135399	-	chr1	67192384	-	388	HIC_chr1_16545	HIC_chr1_16560	42	42		A	A	chr1:67000000-67500000	chr1:67000000-67500000	67135787	67192772	intra	1,0	promoter_2175|C1orf141	56985.0	2	True	1
SRR400264.46820	chr1	76074363	-	chr1	76628424	+	278	HIC_chr1_19410	HIC_chr1_19597	42	42		A	B	chr1:76000000-76500000	chr1:76500000-77000000	76074641	76628702	intra	1,0	promoter_24405|ST6GALNAC3	554061.0	2	True	1
SRR400264.163024	chr1	87209789	-	chr1	87327933	-	285	HIC_chr1_23162	HIC_chr1_23209	42	42		A	A	chr1:87000000-87500000	chr1:87000000-87500000	87210074	87328218	intra	0,1	promoter_12101|LMO4	118144.0	2	True	1
SRR400264.224044	chr1	88932294	-	chr1	89065272	+	340	HIC_chr1_23736	HIC_chr1_23774	42	42		B	B	chr1:88500000-89000000	chr1:89000000-89500000	88932634	89065612	intra	0,1	promoter_7219|GBP1	132978.0	2	True	1
SRR400264.25437	chr1	90606940	+	chr1	91021278	-	280	HIC_chr1_24259	HIC_chr1_24404	42	42		B	B	chr1:90500000-91000000	chr1:91000000-91500000	90607220	91021558	intra	0,1	promoter_28002|ZNF644	414338.0	2	True	1
SRR400264.170957	chr1	109023960	+	chr1	109493619	+	185	HIC_chr1_30058	HIC_chr1_30178	42	42		B	B	chr1:109000000-109500000	chr1:109000000-109500000	109024145	109493804	intra	0,1	promoter_4456|CYB561D1	469659.0	2	True	1
SRR400264.137428	chr1	111556917	-	chr1	111563283	+	834	HIC_chr1_30775	HIC_chr1_30777	42	40		B	B	chr1:111500000-112000000	chr1:111500000-112000000	111557751	111564117	intra	0,1	promoter_25720|TMIGD3	6366.0	2	True	1
SRR400264.247260	chr1	114715911	+	chr1	114753510	+	411	HIC_chr1_31695	HIC_chr1_31713	42	42		A	A	chr1:114500000-115000000	chr1:114500000-115000000	114716322	114753921	intra	1,0	promoter_17929|NRAS	37599.0	2	True	1
SRR400264.241650	chr1	114926842	-	chr1	115919977	+	302	HIC_chr1_31767	HIC_chr1_32080	42	42		A	B	chr1:114500000-115000000	chr1:115500000-116000000	114927144	115920279	intra	0,1	promoter_11215|LINC01649	993135.0	2	True	1
SRR400264.129694	chr1	116612471	-	chr1	117094318	+	295	HIC_chr1_32284	HIC_chr1_32413	37	42		A	A	chr1:116500000-117000000	chr1:117000000-117500000	116612766	117094613	intra	0,1	promoter_16553|MIR942	481847.0	2	True	1
SRR400264.188661	chr1	190900299	+	chr1	192939418	+	305	HIC_chr1_48260	HIC_chr1_48940	42	42		B	B	chr1:190500000-191000000	chr1:192500000-193000000	190900604	192939723	intra			2039119.0	2	False	0
SRR400264.169587	chr1	72799616	+	chr1	73948450	-	317	HIC_chr1_18327	HIC_chr1_18695	42	42		A	B	chr1:72500000-73000000	chr1:73500000-74000000	72799933	73948767	intra			1148834.0	2	False	0
SRR400264.210314	chr1	199204654	-	chr1	200534196	+	369	HIC_chr1_50928	HIC_chr1_51302	42	37		A	A	chr1:199000000-199500000	chr1:200500000-201000000	199205023	200534565	intra			1329542.0	2	False	0
SRR400264.171432	chr1	200650175	-	chr1	226082745	+	14370	HIC_chr1_51336	HIC_chr1_58759	42	42		A	B	chr1:200500000-201000000	chr1:226000000-226500000	200664545	226097115	intra			25432570.0	2	False	0
SRR400264.71037	chr1	156102716	-	chr1	156333477	+	251	HIC_chr1_37640	HIC_chr1_37689	42	42		A	A	chr1:156000000-156500000	chr1:156000000-156500000	156102967	156333728	intra			230761.0	2	False	0
SRR400264.68427	chr1	217668647	-	chr1	218037193	-	13951	HIC_chr1_56249	HIC_chr1_56378	42	42		B	B	chr1:217500000-218000000	chr1:218000000-218500000	217682598	218051144	intra			368546.0	2	False	0
SRR400264.12995	chr1	34178103	+	chr1	34188576	+	327	HIC_chr1_7422	HIC_chr1_7428	42	42		B	B	chr1:34000000-34500000	chr1:34000000-34500000	34178430	34188903	intra			10473.0	2	False	0
SRR400264.19043	chr1	231558278	+	chr1	231590605	+	274	HIC_chr1_60190	HIC_chr1_60196	42	42		B	B	chr1:231500000-232000000	chr1:231500000-232000000	231558552	231590879	intra			32327.0	2	False	0
SRR400264.20357	chr1	237766586	+	chr1	239057632	+	329	HIC_chr1_61947	HIC_chr1_62369	42	42		B	B	chr1:237500000-238000000	chr1:239000000-239500000	237766915	239057961	intra			1291046.0	2	False	0
SRR400264.84954	chr1	36698528	+	chr1	38315155	+	330	HIC_chr1_8061	HIC_chr1_8457	42	37		A	A	chr1:36500000-37000000	chr1:38000000-38500000	36698858	38315485	intra			1616627.0	2	False	0
SRR400264.189266	chr1	70975344	-	chr1	71590606	-	251	HIC_chr1_17740	HIC_chr1_17943	42	42		A	B	chr1:70500000-71000000	chr1:71500000-72000000	70975595	71590857	intra			615262.0	2	False	0
SRR400264.127309	chr1	118878930	-	chr1	118930425	-	390	HIC_chr1_33017	HIC_chr1_33034	42	42		A	A	chr1:118500000-119000000	chr1:118500000-119000000	118879320	118930815	intra			51495.0	2	False	0
SRR400264.217699	chr1	147510406	-	chr1	147541730	-	401	HIC_chr1_35508	HIC_chr1_35525	42	42		A	A	chr1:147500000-148000000	chr1:147500000-148000000	147510807	147542131	intra	0,1	promoter_1704|BCL9	31324.0	2	True	1
SRR400264.126847	chr1	151156754	-	chr1	151845204	+	312	HIC_chr1_36500	HIC_chr1_36652	42	42		B	B	chr1:151000000-151500000	chr1:151500000-152000000	151157066	151845516	intra	1,0	promoter_25772|TNFAIP8L2	688450.0	2	True	1
SRR400264.77698	chr1	151837449	+	chr1	151950381	-	287	HIC_chr1_36648	HIC_chr1_36684	40	42		B	B	chr1:151500000-152000000	chr1:151500000-152000000	151837736	151950668	intra	1,0	promoter_2240|C2CD4D-AS1	112932.0	2	True	1
SRR400264.73410	chr1	152663143	-	chr1	153265959	-	423	HIC_chr1_36896	HIC_chr1_37068	42	42		B	B	chr1:152500000-153000000	chr1:153000000-153500000	152663566	153266382	intra	1,0	promoter_10114|LCE2D	602816.0	2	True	1
SRR400264.94128	chr1	153034561	-	chr1	153041245	+	403	HIC_chr1_37004	HIC_chr1_37006	42	42		B	B	chr1:153000000-153500000	chr1:153000000-153500000	153034964	153041648	intra	0,1	promoter_24231|SPRR2D	6684.0	2	True	1
SRR400264.225998	chr1	153217702	-	chr1	153253402	+	290	HIC_chr1_37053	HIC_chr1_37063	42	42		B	B	chr1:153000000-153500000	chr1:153000000-153500000	153217992	153253692	intra	1,0	promoter_20390|PRR9	35700.0	2	True	1
SRR400264.90976	chr1	156433984	-	chr1	156619869	+	268	HIC_chr1_37706	HIC_chr1_37743	42	42		A	A	chr1:156000000-156500000	chr1:156500000-157000000	156434252	156620137	intra	0,1	promoter_8141|HAPLN2	185885.0	2	True	1
SRR400264.123011	chr1	161524474	+	chr1	162415393	+	382	HIC_chr1_39128	HIC_chr1_39374	42	42		B	B	chr1:161500000-162000000	chr1:162000000-162500000	161524856	162415775	intra	1,0	promoter_8666|HSPA6	890919.0	2	True	1
SRR400264.116358	chr1	170105152	+	chr1	170174444	-	307	HIC_chr1_41751	HIC_chr1_41779	37	42		A	A	chr1:170000000-170500000	chr1:170000000-170500000	170105459	170174751	intra	0,1	promoter_11238|LINC01681	69292.0	2	True	1
SRR400264.174051	chr1	172890163	-	chr1	173823724	-	361	HIC_chr1_42647	HIC_chr1_42964	42	42		B	A	chr1:172500000-173000000	chr1:173500000-174000000	172890524	173824085	intra	0,1	promoter_3292|CENPL	933561.0	2	True	1
SRR400264.4943	chr1	173207994	+	chr1	173435619	+	289	HIC_chr1_42767	HIC_chr1_42845	42	42		B	B	chr1:173000000-173500000	chr1:173000000-173500000	173208283	173435908	intra	1,0	promoter_25806|TNFSF4	227625.0	2	True	1
SRR400264.128661	chr1	198091677	+	chr1	199015382	+	353	HIC_chr1_50542	HIC_chr1_50862	42	42		B	A	chr1:198000000-198500000	chr1:199000000-199500000	198092030	199015735	intra	0,1	promoter_10893|LINC01221	923705.0	2	True	1
SRR400264.241885	chr1	4693860	+	chr1	87403448	-	292	HIC_chr1_810	HIC_chr1_23237	42	42		A	A	chr1:4500000-5000000	chr1:87000000-87500000	4694152	87403740	intra			82709588.0	2	False	0
SRR400264.152889	chr1	9884405	+	chr1	218865660	-	369	HIC_chr1_1969	HIC_chr1_56642	42	42		B	B	chr1:9500000-10000000	chr1:218500000-219000000	9884774	218866029	intra			208981255.0	2	False	0
SRR400264.89763	chr1	53331854	-	chr1	57621305	-	314	HIC_chr1_12360	HIC_chr1_13669	42	42		B	B	chr1:53000000-53500000	chr1:57500000-58000000	53332168	57621619	intra			4289451.0	2	False	0
SRR400264.96456	chr1	97405545	+	chr1	97631203	-	365	HIC_chr1_26367	HIC_chr1_26444	42	42		B	B	chr1:97000000-97500000	chr1:97500000-98000000	97405910	97631568	intra			225658.0	2	False	0
SRR400264.220288	chr1	108195313	-	chr1	109534968	+	294	HIC_chr1_29837	HIC_chr1_30186	42	42		B	B	chr1:108000000-108500000	chr1:109500000-110000000	108195607	109535262	intra			1339655.0	2	False	0
SRR400264.13443	chr1	214522241	-	chr1	219319211	+	435	HIC_chr1_55173	HIC_chr1_56802	42	42		B	B	chr1:214500000-215000000	chr1:219000000-219500000	214522676	219319646	intra			4796970.0	2	False	0
SRR400264.8025	chr1	77362737	+	chr1	156282245	+	411	HIC_chr1_19836	HIC_chr1_37674	42	42		A	A	chr1:77000000-77500000	chr1:156000000-156500000	77363148	156282656	intra	0,1	promoter_25693|TMEM79	78919508.0	2	False	0
SRR400264.89763	chr1	53331854	-	chr1	57621305	-	314	HIC_chr1_12360	HIC_chr1_13669	42	42		B	B	chr1:53000000-53500000	chr1:57500000-58000000	53332168	57621619	intra			4289451.0	2	False	0
SRR400264.66229	chr1	23381698	-	chr1	44574109	+	292	HIC_chr1_5076	HIC_chr1_10059	42	40		A	A	chr1:23000000-23500000	chr1:44500000-45000000	23381990	44574401	intra			21192411.0	2	False	0
SRR400264.69065	chr1	75249987	+	chr1	76086479	+	305	HIC_chr1_19161	HIC_chr1_19415	42	42		B	A	chr1:75000000-75500000	chr1:76000000-76500000	75250292	76086784	intra			836492.0	2	False	0
SRR400264.195264	chr1	83794725	+	chr1	84191995	+	321	HIC_chr1_21992	HIC_chr1_22116	42	42		B	B	chr1:83500000-84000000	chr1:84000000-84500000	83795046	84192316	intra			397270.0	2	False	0
SRR400264.214363	chr1	59134275	+	chr1	59763516	+	295	HIC_chr1_14108	HIC_chr1_14313	42	42		B	A	chr1:59000000-59500000	chr1:59500000-60000000	59134570	59763811	intra			629241.0	2	False	0
SRR400264.39598	chr1	203905990	+	chr1	204196133	-	384	HIC_chr1_52151	HIC_chr1_52199	42	42		B	A	chr1:203500000-204000000	chr1:204000000-204500000	203906374	204196517	intra	0,1	promoter_9688|KISS1	290143.0	2	True	1
SRR400264.51665	chr1	204163684	-	chr1	204195666	+	291	HIC_chr1_52189	HIC_chr1_52198	42	42		A	A	chr1:204000000-204500000	chr1:204000000-204500000	204163975	204195957	intra	0,1	promoter_9688|KISS1	31982.0	2	True	1
SRR400264.208242	chr1	205373726	-	chr1	205480776	+	327	HIC_chr1_52497	HIC_chr1_52516	42	42		B	B	chr1:205000000-205500000	chr1:205000000-205500000	205374053	205481103	intra	1,0	promoter_10174|LEMD1-AS1	107050.0	2	True	1
SRR400264.91870	chr1	206003055	-	chr1	206055977	+	322	HIC_chr1_52647	HIC_chr1_52661	42	37		A	A	chr1:206000000-206500000	chr1:206000000-206500000	206003377	206056299	intra	1,0	promoter_20828|RAB7B	52922.0	2	True	1
SRR400264.127482	chr1	206844517	-	chr1	207052541	+	401	HIC_chr1_52880	HIC_chr1_52946	42	42		B	B	chr1:206500000-207000000	chr1:207000000-207500000	206844918	207052942	intra	0,1	promoter_19310|PFKFB2	208024.0	2	True	1
SRR400264.162872	chr1	207752345	+	chr1	207800457	+	373	HIC_chr1_53162	HIC_chr1_53174	42	42		B	B	chr1:207500000-208000000	chr1:207500000-208000000	207752718	207800830	intra	1,0	promoter_3040|CD46	48112.0	2	True	1
SRR400264.180734	chr1	214562553	-	chr1	214603555	+	376	HIC_chr1_55187	HIC_chr1_55206	42	42		B	B	chr1:214500000-215000000	chr1:214500000-215000000	214562929	214603931	intra	0,1	promoter_3287|CENPF	41002.0	2	True	1
SRR400264.66129	chr1	218775583	-	chr1	218918548	-	394	HIC_chr1_56613	HIC_chr1_56660	42	42		B	B	chr1:218500000-219000000	chr1:218500000-219000000	218775977	218918942	intra	0,1	promoter_11262|LINC01710	142965.0	2	True	1
SRR400264.43189	chr1	220824350	-	chr1	220953604	+	258	HIC_chr1_57237	HIC_chr1_57275	42	42		A	A	chr1:220500000-221000000	chr1:220500000-221000000	220824608	220953862	intra	1,0	promoter_21571|RNU6ATAC35P	129254.0	2	True	1
SRR400264.66588	chr1	228512357	-	chr1	228728362	+	402	HIC_chr1_59354	HIC_chr1_59372	42	42		B	B	chr1:228500000-229000000	chr1:228500000-229000000	228512759	228728764	intra	1,0	promoter_1977|BTNL10	216005.0	2	True	1
SRR400264.126618	chr1	230643007	+	chr1	230643316	-	285	HIC_chr1_59904	HIC_chr1_59906	42	42		B	B	chr1:230500000-231000000	chr1:230500000-231000000	230643292	230643601	intra	1,0	promoter_3880|COG2	309.0	2	True	1
SRR400264.23079	chr1	233472256	+	chr1	233904083	-	334	HIC_chr1_60743	HIC_chr1_60881	37	42		B	B	chr1:233000000-233500000	chr1:233500000-234000000	233472590	233904417	intra	0,1	promoter_22912|SLC35F3	431827.0	2	True	1
SRR400264.123483	chr1	33738228	+	chr1	46410416	+	279	HIC_chr1_7266	HIC_chr1_10481	42	42		B	A	chr1:33500000-34000000	chr1:46000000-46500000	33738507	46410695	intra			12672188.0	2	False	0
SRR400264.46477	chr1	43939843	+	chr1	44706647	+	285	HIC_chr1_9896	HIC_chr1_10100	42	42		A	A	chr1:43500000-44000000	chr1:44500000-45000000	43940128	44706932	intra			766804.0	2	False	0
